PupilID,FirstName,Char,LastName,Email,Address,DateOfJoin,DOB
1,Jayden,I,Stokes,JaydenStokes@teleworm.us,WM 58 34 63 C,2015-07-25,2002-04-29
2,Rachel,J,Gray,RachelGray@superrito.com,TZ 87 39 78,2015-05-08,2001-12-06
3,Noah,Z,Parker,NoahParker@cuvox.de,LT 72 47 59,2015-08-17,2002-06-21
4,Alex,E,Stewart,AlexStewart@gustr.com,BY 65 47 46 A,2015-08-09,2002-06-17
5,Thomas,S,Chadwick,ThomasChadwick@fleckens.hu,AK 91 42 09 D,2015-07-24,2001-11-15
6,Danielle,R,Lawson,DanielleLawson@einrot.com,NG 01 50 76,2015-07-15,2001-11-13
7,Connor,M,Thorpe,ConnorThorpe@armyspy.com,BN 20 49 78 D,2015-08-08,2002-06-13
8,Jacob,F,Miles,JacobMiles@rhyta.com,LR 72 42 14 D,2015-07-27,2002-04-27
9,Nicholas,N,Ferguson,NicholasFerguson@rhyta.com,HR 65 55 47 B,2015-04-08,2002-01-27
10,Toby,D,Walters,TobyWalters@jourrapide.com,ZS 94 45 49,2015-11-08,2001-10-17
11,Ethan,A,Boyle,EthanBoyle@armyspy.com,XP 91 75 84 D,2015-07-25,2002-12-11
12,Aimee,L,Clayton,AimeeClayton@armyspy.com,RZ 26 74 52,2015-07-25,2001-10-10
13,Sophia,F,Smith,SophiaSmith@gustr.com,CP 98 52 55,2015-01-08,2001-09-29
14,Paige,C,Finch,PaigeFinch@teleworm.us,ZR 16 48 01 C,2015-07-29,2002-02-26
15,Chelsea,E,Macdonald,ChelseaMacdonald@fleckens.hu,LC 81 69 24 B,2015-01-08,2003-01-02
16,Aaron,B,Bryan,AaronBryan@fleckens.hu,SP 77 34 71 A,2015-02-08,2002-09-15
17,Summer,L,Bray,SummerBray@teleworm.us,ZW 82 16 39 D,2015-07-22,2001-12-15
18,Kiera,M,Atkinson,KieraAtkinson@jourrapide.com,XH 73 59 53 B,2015-10-08,2003-02-09
19,Josh,N,Potts,JoshPotts@teleworm.us,PM 34 09 77 A,2015-07-20,2001-11-15
20,Kate,K,Nelson,KateNelson@dayrep.com,HG 08 18 05 D,2015-04-08,2002-12-03
21,Robert,E,Wade,RobertWade@armyspy.com,PK 79 50 63 C,2015-08-15,2002-06-10
22,Jacob,T,Riley,JacobRiley@cuvox.de,PR 71 06 81 A,2015-11-08,2002-06-01
23,Corey,C,Payne,CoreyPayne@superrito.com,GJ 52 29 52 B,2015-03-08,2002-08-19
24,Patrick,M,Tomlinson,PatrickTomlinson@fleckens.hu,NH 40 32 91 D,2015-07-28,2002-11-02
